fecha,total,acumulado
1974-11-15,1,1
1988-09-29,1,2
1989-09-25,1,3
1990-04-25,1,4
1990-08-30,1,5
1991-02-08,1,6
1992-07-24,1,7
1993-01-13,1,8
1993-03-09,1,9
1993-09-02,1,10
1994-01-11,1,11
1994-07-02,1,12
1994-08-27,1,13
1994-12-26,1,14
1995-01-29,1,15
1995-07-04,1,16
1995-07-13,1,17
1995-07-31,1,18
1996-04-18,1,19
1996-04-20,1,20
1996-04-24,1,21
1996-08-09,1,22
1996-12-05,1,23
1996-12-18,1,24
1997-01-30,1,25
1997-02-12,1,26
1997-02-16,1,27
1997-02-23,1,28
1997-04-04,1,29
1997-04-09,1,30
1997-05-24,1,31
1997-07-23,1,32
1997-08-11,1,33
1997-08-28,1,34
1997-08-29,1,35
1997-09-23,1,36
1997-10-24,2,38
1997-12-23,8,46
1998-02-08,6,52
1998-03-16,1,53
1998-04-02,1,54
1998-05-13,1,55
1998-08-30,1,56
1998-09-05,1,57
1998-09-23,3,60
1998-10-02,1,61
1998-10-23,1,62
1998-11-20,1,63
1999-01-21,1,64
1999-02-15,1,65
1999-02-26,1,66
1999-03-15,1,67
1999-03-21,1,68
1999-04-09,1,69
1999-04-12,5,74
1999-04-15,1,75
1999-05-20,1,76
1999-05-26,1,77
1999-07-10,1,78
1999-07-23,1,79
1999-09-26,1,80
1999-10-12,1,81
1999-10-19,1,82
1999-11-13,1,83
1999-11-24,1,84
1999-12-12,1,85
1999-12-18,1,86
2000-01-01,1,87
2000-02-10,1,88
2000-03-21,1,89
2000-05-09,1,90
2000-05-18,1,91
2000-05-24,1,92
2000-06-30,2,94
2000-07-10,1,95
2000-07-16,3,98
2000-07-28,1,99
2000-08-17,2,101
2000-09-08,2,103
2000-09-14,1,104
2000-10-11,1,105
2000-10-20,1,106
2000-10-22,1,107
2000-10-29,1,108
2000-11-05,1,109
2000-11-15,1,110
2000-11-21,1,111
2000-11-30,1,112
2000-12-03,1,113
2000-12-19,2,115
2001-01-30,1,116
2001-02-20,1,117
2001-02-27,1,118
2001-05-14,1,119
2001-06-08,1,120
2001-06-16,1,121
2001-07-02,1,122
2001-07-12,1,123
2001-08-03,1,124
2001-08-30,1,125
2001-09-06,1,126
2001-10-12,1,127
2001-10-22,2,129
2001-12-27,2,131
2002-01-16,1,132
2002-02-21,1,133
2002-02-23,1,134
2002-03-29,2,136
2002-04-05,1,137
2002-04-12,1,138
2002-04-16,1,139
2002-05-02,1,140
2002-05-06,1,141
2002-05-07,1,142
2002-05-28,1,143
2002-06-09,1,144
2002-06-15,1,145
2002-07-05,1,146
2002-08-03,1,147
2002-08-07,2,149
2002-08-21,1,150
2002-09-18,1,151
2002-10-17,1,152
2002-12-17,1,153
2002-12-20,3,156
2002-12-29,1,157
2003-01-10,1,158
2003-01-25,1,159
2003-01-29,1,160
2003-03-31,1,161
2003-06-01,1,162
2003-06-30,2,164
2003-08-04,1,165
2003-08-08,1,166
2003-08-19,2,168
2003-08-29,1,169
2003-09-04,1,170
2003-09-09,1,171
2003-09-27,1,172
2003-10-06,1,173
2003-10-17,1,174
2003-10-18,1,175
2003-10-21,1,176
2003-11-03,1,177
2003-11-24,1,178
2003-12-05,1,179
2003-12-06,1,180
2003-12-08,1,181
2003-12-18,1,182
2003-12-21,1,183
2004-02-14,1,184
2004-03-13,1,185
2004-03-15,1,186
2004-03-20,1,187
2004-04-05,1,188
2004-04-11,1,189
2004-04-18,1,190
2004-05-19,1,191
2004-06-11,1,192
2004-06-16,1,193
2004-06-29,5,198
2004-07-15,1,199
2004-07-18,1,200
2004-08-09,2,202
2004-08-31,1,203
2004-09-23,2,205
2004-10-14,1,206
2004-11-20,1,207
2004-12-17,1,208
2004-12-18,2,210
2005-01-03,1,211
2005-03-02,3,214
2005-04-30,1,215
2005-05-05,1,216
2005-05-07,1,217
2005-05-20,1,218
2005-05-22,1,219
2005-06-23,1,220
2005-06-24,1,221
2005-08-11,1,222
2005-08-13,1,223
2005-08-23,1,224
2005-09-09,1,225
2005-09-26,1,226
2005-10-13,2,228
2005-10-19,1,229
2005-10-27,2,231
2005-11-03,1,232
2005-11-08,1,233
2005-11-16,2,235
2005-12-02,1,236
2005-12-04,1,237
2005-12-21,2,239
2005-12-29,1,240
2006-02-15,1,241
2006-02-18,1,242
2006-04-08,1,243
2006-04-11,1,244
2006-04-15,5,249
2006-04-20,1,250
2006-04-25,1,251
2006-04-28,2,253
2006-05-24,1,254
2006-05-27,1,255
2006-06-18,1,256
2006-06-28,1,257
2006-07-28,1,258
2006-08-11,1,259
