"nombre","nombre_oficial","pais_operador","operador","usos","finalidad","clase_orbita","periodo","masa","fecha","NORAD"
"1HOPSAT-TD (1st-generation High Optical Performance Satellite)","1HOPSAT","USA","Hera Systems","Commercial","Earth Observation","LEO","96,08",22,11/12/2019,44859
"3Cat-1","3Cat-1","Spain","Universitat Politècnica de Catalunya","Civil","Technology Development","LEO",95,4,29/11/2018,43728
"Aalto-1 ","Aalto-1","Finland","Aalto University","Civil","Technology Development","LEO","94,7",5,23/06/2017,42775
"AAUSat-4","AAUSat-4","Denmark","University of Aalborg","Civil","Earth Observation","LEO","95,9",1,25/04/2016,41460
"ABS-2 (Koreasat-8, ST-3)","ABS-2","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","GEO","1436,03",6.330,06/02/2014,39508
"ABS-2A","ABS-2A","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","GEO","1436,1",1.800,15/06/2016,41588
"ABS-3A ","ABS-3A","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","GEO",1436,2.000,02/03/2015,40424
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)","ABS-4","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","GEO","1436,1",4.143,13/03/2004,28184
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)","ABS-6","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","GEO","1436,08",2.894,26/09/1999,25924
"ABS-7 (Koreasat 3, Mugungwha 3)","ABS-7","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","GEO","1436,06",3.500,04/09/1999,25894
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)","USA 311","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","GEO","1437,6",5.400,11/12/2020,47237
"Advanced Orion 4 (Mentor, NROL 6, USA 139)","USA 139","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","GEO","1436,14",5.200,09/05/1998,25336
"Advanced Orion 5 (Mentor, NROL 19, USA 171)","USA 171","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","GEO","1436,1",5.200,09/09/2003,27937
